player_id,player_name,player_url,player_category,Season,Age,Squad,Country,Competition,LgRank,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
549515c2,Raúl Heras,https://fbref.com/en/players/549515c2/Raul-Heras,HE,Racing Rioja CF (1 Season),,1 League,,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,,,
e6d1b7c4,Manfred Heraud,https://fbref.com/en/players/e6d1b7c4/Manfred-Heraud,HE,2017-2018,35,FC La Tour,FRA,Coupe de France,109th,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,Matches
e6d1b7c4,Manfred Heraud,https://fbref.com/en/players/e6d1b7c4/Manfred-Heraud,HE,1 Season,1 Club,,1 League,,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,,
bc163a65,Romain Herbinière,https://fbref.com/en/players/bc163a65/Romain-Herbiniere,HE,2025-2026,19,Olympique Marcquois Football,FRA,Coupe de France,R64,1,1,90,1.0,3,3.00,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
bc163a65,Romain Herbinière,https://fbref.com/en/players/bc163a65/Romain-Herbiniere,HE,1 Season,1 Club,,1 League,,1,1,90,1.0,3,3.00,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,,
6113ebd7,Alexis Herrera,https://fbref.com/en/players/6113ebd7/Alexis-Herrera,HE,2016-2017,26,Andorra CF,ESP,Copa del Rey,66th,1,1,90,1.0,5,5.00,,,,0,0,1,0,0.0,0,0,0,0,,Matches
6113ebd7,Alexis Herrera,https://fbref.com/en/players/6113ebd7/Alexis-Herrera,HE,1 Season,1 Club,,1 League,,1,1,90,1.0,5,5.00,,,,0,0,1,0,0.0,0,0,0,0,,,
c8da1f59,Carlos Herrera,https://fbref.com/en/players/c8da1f59/Carlos-Herrera,HE,2019,14,Laredo Heat,USA,U.S. Open Cup,Rd2,2,2,180,2.0,,,,,,1,0,1,2,100.0,0,0,0,0,,Matches
c8da1f59,Carlos Herrera,https://fbref.com/en/players/c8da1f59/Carlos-Herrera,HE,1 Season,1 Club,,1 League,,2,2,180,2.0,,,,,,1,0,1,2,100.0,0,0,0,0,,,
b1695b24,Alex Herrero,https://fbref.com/en/players/b1695b24/Alex-Herrero,HE,2024-2025,,Las Rozas CF,ESP,Copa del Rey,Rd1,1,1,90,1.0,3,3.00,,,,0,0,1,0,0.0,0,0,0,0,,Matches
b1695b24,Alex Herrero,https://fbref.com/en/players/b1695b24/Alex-Herrero,HE,2 Seasons,2 Clubs,,1 League,,1,1,90,1.0,3,3.00,,,,0,0,1,0,0.0,0,0,0,0,,,
b1695b24,Alex Herrero,https://fbref.com/en/players/b1695b24/Alex-Herrero,HE,Las Rozas CF (1 Season),,1 League,,1,1,90,1.0,3,3.00,,,,0,0,1,0,0.0,0,0,0,0,,,,
8b9f4f94,Thomas Heuls,https://fbref.com/en/players/8b9f4f94/Thomas-Heuls,HE,2024-2025,22,Arras Football,FRA,Coupe de France,Rd7,1,1,90,1.0,2,2.00,,,,0,0,1,0,0.0,0,0,0,0,,Matches
8b9f4f94,Thomas Heuls,https://fbref.com/en/players/8b9f4f94/Thomas-Heuls,HE,1 Season,1 Club,,1 League,,1,1,90,1.0,2,2.00,,,,0,0,1,0,0.0,0,0,0,0,,,
a85c6c1a,Rafael Hidalgo,https://fbref.com/en/players/a85c6c1a/Rafael-Hidalgo,HI,2021-2022,22,Teruel,ESP,Copa del Rey,Rd1,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0,Matches
a85c6c1a,Rafael Hidalgo,https://fbref.com/en/players/a85c6c1a/Rafael-Hidalgo,HI,2024-2025,25,CD Cuarte,ESP,Copa del Rey,Rd1,1,1,90,1.0,3,3.00,,,,0,0,1,0,0.0,2,2,0,0,0.0,Matches
a85c6c1a,Rafael Hidalgo,https://fbref.com/en/players/a85c6c1a/Rafael-Hidalgo,HI,2 Seasons,2 Clubs,,1 League,,2,2,180,2.0,4,2.00,0,0,,0,0,2,0,0.0,3,3,0,0,0.0,,
a85c6c1a,Rafael Hidalgo,https://fbref.com/en/players/a85c6c1a/Rafael-Hidalgo,HI,Teruel (1 Season),,1 League,,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0,,,
a85c6c1a,Rafael Hidalgo,https://fbref.com/en/players/a85c6c1a/Rafael-Hidalgo,HI,CD Cuarte (1 Season),,1 League,,1,1,90,1.0,3,3.00,,,,0,0,1,0,0.0,2,2,0,0,0.0,,,
2920b80a,Manuel Higueras,https://fbref.com/en/players/2920b80a/Manuel-Higueras,HI,2018-2019,38,Rossfeld,FRA,Coupe de France,109th,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
