player_id,player_name,player_url,player_category,Season,Age,Squad,Competition,LgRank,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,2016,25,kpKorea DPR,Friendlies (M),,1.8,0,0,0,,,,,,,,,0,Matches
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,2017,26,kpKorea DPR,Friendlies (M),,3.0,0,0,0,,,,,,,,,0,Matches
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,2019,28,kpKorea DPR,Asian Cup qualification,,1.0,0,0,0,,,,,,,,,0,Matches
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,3 Seasons,1 Club,2 Leagues,,5.8,0,0,0,,,,,,,,,0,,
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,Friendlies (M) (2 Seasons),,,4.8,0,0,0,,,,,,,,,0,,,
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,Asian Cup qualification (1 Season),,,1.0,0,0,0,,,,,,,,,0,,,
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,2007,28,sySyria,Asian Cup qualification,,5.5,0,0,0,,,,,,,,,0,Matches
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,2010,31,sySyria,WCQ,,6.4,0,0,0,,,,,,,,,0,Matches
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,2011,32,sySyria,Asian Cup qualification,,0.1,0,0,0,,,,,,,,,0,Matches
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,4 Seasons,1 Club,2 Leagues,,12.0,0,0,0,,,,,,,,,0,,
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,WCQ (2 Seasons),,,6.4,0,0,0,,,,,,,,,0,,,
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,Asian Cup qualification (2 Seasons),,,5.6,0,0,0,,,,,,,,,0,,,
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,2022,26,lsLesotho,Friendlies (M),,0.5,0,0,0,,,,,,,,,0,Matches
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,5 Seasons,1 Club,3 Leagues,,0.5,0,0,0,,,,,,,,,0,,
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,Africa Cup of Nations qualification (3 Seasons),,,,,,,,,,,,,,,,,,
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,Friendlies (M) (1 Season),,,0.5,0,0,0,,,,,,,,,0,,,
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,WCQ (1 Season),,,,,,,,,,,,,,,,,,
50626e05,Chabalala,https://fbref.com/en/players/50626e05/Chabalala,CH,2017,17,aoAngola,Africa Cup of Nations qualification,,0.0,0,0,0,,,,,,,,,0,Matches
50626e05,Chabalala,https://fbref.com/en/players/50626e05/Chabalala,CH,1 Season,1 Club,1 League,,0.0,0,0,0,,,,,,,,,0,,
8e16288b,Motlalepula Chabeli,https://fbref.com/en/players/8e16288b/Motlalepula-Chabeli,CH,2015,20,lsLesotho,Friendlies (M),,0.5,0,0,0,,,,,,,,,0,Matches
8e16288b,Motlalepula Chabeli,https://fbref.com/en/players/8e16288b/Motlalepula-Chabeli,CH,2 Seasons,1 Club,2 Leagues,,0.5,0,0,0,,,,,,,,,0,,
8e16288b,Motlalepula Chabeli,https://fbref.com/en/players/8e16288b/Motlalepula-Chabeli,CH,Friendlies (M) (1 Season),,,0.5,0,0,0,,,,,,,,,0,,,
8e16288b,Motlalepula Chabeli,https://fbref.com/en/players/8e16288b/Motlalepula-Chabeli,CH,Africa Cup of Nations qualification (1 Season),,,,,,,,,,,,,,,,,,
bf151b73,Emmanuel Chabula,https://fbref.com/en/players/bf151b73/Emmanuel-Chabula,CH,2019,21,zmZambia,Friendlies (M),,1.4,0,0,0,,,,,,,,,0,Matches
bf151b73,Emmanuel Chabula,https://fbref.com/en/players/bf151b73/Emmanuel-Chabula,CH,2020,22,zmZambia,Friendlies (M),,0.6,0,0,0,,,,,,,,,0,Matches
bf151b73,Emmanuel Chabula,https://fbref.com/en/players/bf151b73/Emmanuel-Chabula,CH,2021,23,zmZambia,Africa Cup of Nations qualification,,0.7,0,0,0,,,,,,,,,0,Matches
bf151b73,Emmanuel Chabula,https://fbref.com/en/players/bf151b73/Emmanuel-Chabula,CH,3 Seasons,1 Club,2 Leagues,,2.6,0,0,0,,,,,,,,,0,,
bf151b73,Emmanuel Chabula,https://fbref.com/en/players/bf151b73/Emmanuel-Chabula,CH,Friendlies (M) (2 Seasons),,,2.0,0,0,0,,,,,,,,,0,,,
bf151b73,Emmanuel Chabula,https://fbref.com/en/players/bf151b73/Emmanuel-Chabula,CH,Africa Cup of Nations qualification (1 Season),,,0.7,0,0,0,,,,,,,,,0,,,
5e920444,William Chachagua,https://fbref.com/en/players/5e920444/William-Chachagua,CH,1998,31,svEl Salvador,WCQ,,1.3,0,0,0,,,,,,,,,0,Matches
5e920444,William Chachagua,https://fbref.com/en/players/5e920444/William-Chachagua,CH,1 Season,1 Club,1 League,,1.3,0,0,0,,,,,,,,,0,,
065a00d5,Daniel Chacón,https://fbref.com/en/players/065a00d5/Daniel-Chacon,CH,2022,21,crCosta Rica,1. World Cup,GR,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
065a00d5,Daniel Chacón,https://fbref.com/en/players/065a00d5/Daniel-Chacon,CH,2022,20,crCosta Rica,WCQ,,1.4,0,0,0,,,,,,,,,0,Matches
065a00d5,Daniel Chacón,https://fbref.com/en/players/065a00d5/Daniel-Chacon,CH,2022,20,crCosta Rica,Friendlies (M),,1.5,0,0,0,,,,,,,,,0,Matches
065a00d5,Daniel Chacón,https://fbref.com/en/players/065a00d5/Daniel-Chacon,CH,2022,20,crCosta Rica,WCQ Play-offs,1st,0.1,0,0,0,,,,,,,,,,Matches
065a00d5,Daniel Chacón,https://fbref.com/en/players/065a00d5/Daniel-Chacon,CH,1 Season,1 Club,4 Leagues,,3.1,0,0,0,0,0,0,0,0,0,,,0,,
