player_id,season,championship_id,club_id,total_team_matches,total_matches_played,total_matches_started,total_minutes_played,total_goals,total_home_goals,total_away_goals,total_left_footed_goals,total_right_footed_goals,total_assists,total_attempts,total_shots_on_target,total_shots_assists,total_balls_played,total_touches_in_opposition_box,total_duels_won,total_interceptions,total_tackles_won,total_fouls_committed,total_fouls_suffered,total_yellow_cards,total_red_cards,total_man_of_the_match,total_team_goals,fl1_average_rating,ratio_balls_played_per_match,ratio_matches_started,ratio_goals_every_n_minutes,ratio_shots_on_target_per_match,ratio_touches_in_opposition_box_per_match
l1_championship_player_2025_1_91113,2025,1,l1_championship_club_2025_1,30,13,12,1006,,,,,,1,4,1,4,956,9,34,12,11,18,8,5,,,58,5.2469230769230775,85.53,0.4,,0.09,0.81
l1_championship_player_2025_1_91113,2025,1,l1_championship_club_2025_6,4,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
l1_championship_player_2025_1_91113,2025,6,l1_championship_club_2025_1,8,4,4,306,,,,,,,,,3,297,,12,2,5,3,5,1,,,11,4.9075,87.35,0.5,,,
l1_championship_player_2025_1_91113,2025,10,l1_championship_club_2025_1,4,4,3,253,,,,,,,2,,,268,6,9,3,1,2,3,,,,20,5.914999999999999,95.34,0.75,,,2.13
l1_championship_player_2025_1_91113,2025,15,l1_championship_club_2025_1,1,1,1,90,,,,,,,,,,,,,,,1,1,1,,,2,4.16,,1,,,
l1_championship_player_2025_1_98605,2025,1,l1_championship_club_2025_1,30,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,
l1_championship_player_2025_1_98605,2025,4,l1_championship_club_2025_10,9,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
l1_championship_player_2025_1_98605,2025,6,l1_championship_club_2025_1,8,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
l1_championship_player_2025_1_98605,2025,10,l1_championship_club_2025_1,4,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
l1_championship_player_2025_1_98605,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
l1_championship_player_2025_1_504315,2025,1,l1_championship_club_2025_1,19,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,
l1_championship_player_2025_1_504315,2025,6,l1_championship_club_2025_1,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
l1_championship_player_2025_1_504315,2025,10,l1_championship_club_2025_1,4,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
l1_championship_player_2025_1_504315,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
l1_championship_player_2025_1_94776,2025,1,l1_championship_club_2025_1,27,24,19,1779,,,,,,3,13,2,35,1561,20,74,31,24,15,15,2,,1,53,5.595833333333334,78.97,0.7,,0.1,1.01
l1_championship_player_2025_1_94776,2025,6,l1_championship_club_2025_1,8,5,5,393,,,,,,,,,3,288,2,23,5,6,4,4,2,1,,11,4.792,65.95,0.63,,,0.46
l1_championship_player_2025_1_94776,2025,10,l1_championship_club_2025_1,4,3,3,217,,,,,,,4,1,5,235,,11,1,3,5,3,,,,20,6.19,97.47,0.75,,0.41,
l1_championship_player_2025_1_94776,2025,15,l1_championship_club_2025_1,1,1,1,90,,,,,,,,1,,,,,,,,2,,,,2,4.56,,1,,1,
l1_championship_player_2025_1_17566,2025,1,l1_championship_club_2025_1,27,24,20,1747,1,1,,,,2,11,3,9,1448,15,78,23,9,17,13,5,,,53,5.452083333333334,74.6,0.74,1747,0.15,0.77
l1_championship_player_2025_1_17566,2025,6,l1_championship_club_2025_1,8,6,6,538,,,,,,,2,,2,351,7,26,4,5,10,4,3,,,11,5.191666666666667,58.72,0.75,,,1.17
l1_championship_player_2025_1_17566,2025,10,l1_championship_club_2025_1,4,3,2,173,,,,,,,1,,1,160,5,8,9,3,3,,,,,20,6.376666666666666,83.24,0.5,,,2.6
l1_championship_player_2025_1_17566,2025,15,l1_championship_club_2025_1,1,1,1,90,,,,,,,,1,,,,,,,,,,,,2,4.56,,1,,1,
